iter	Logloss
348	0.1193110158
349	0.1193101032
350	0.1193094945
351	0.1193057888
352	0.1192995757
353	0.1192925685
354	0.1192856022
355	0.119280083
356	0.1192782291
357	0.1192718544
358	0.1192689198
359	0.1192669479
360	0.1192664255
361	0.1192619051
362	0.1192603001
363	0.1192597439
364	0.1192583406
365	0.119247682
366	0.1192397312
367	0.1192386625
368	0.1192271031
369	0.1192159654
370	0.1192109287
371	0.1192077861
372	0.1191987017
373	0.1191961882
374	0.1191907845
375	0.1191896932
376	0.1191802928
377	0.1191791069
378	0.1191779385
379	0.1191753935
380	0.1191751064
381	0.1191723615
382	0.1191717721
383	0.1191687275
384	0.1191682092
385	0.1191611056
386	0.1191577309
387	0.1191562123
388	0.1191506371
389	0.1191496819
390	0.1191473301
391	0.1191417737
392	0.1191300119
393	0.1191233702
394	0.1191177322
395	0.1191161158
396	0.1191102321
397	0.1191089159
398	0.1191076309
399	0.1191069124
400	0.119099151
401	0.1190987715
402	0.1190981848
403	0.1190925387
404	0.1190894505
405	0.1190842828
